"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","38.05","58395.00","142731.78","0.93","-2.19","29.86","33.27","40.93","38.48","38.33","38.96","37.88","36.98","36.84","33.70","35.11","32.35","33.86","31.53","32.31","30.19","30.45","44.43","29.52","36.98","2.00","2.27","-0.28","40.81","25.31","13.13","63.42","23.98","22.59","-71.76","44.56","0.80","2.00","-84.76","0.40","11.30","5.38","8.75","NO PATTERN","2016-08-30"
"3IINFOTECH","5.20","1125922.00","3482443.94","1.96","-6.31","1.96","36.84","73.33","5.26","5.25","5.45","5.32","5.29","5.30","5.23","5.22","5.17","5.11","4.74","4.90","4.61","4.55","5.92","4.67","5.29","0.05","0.10","-0.05","24.70","23.18","22.49","48.43","17.20","18.23","-64.81","6.23","0.15","0.33","-81.48","0.33","31.60","10.53","0.10","NO PATTERN","2016-08-30"
"3MINDIA","12949.10","1162.00","1284.36","0.04","-1.91","-11.43","4.30","5.82","13022.67","13012.83","13115.54","13153.13","13231.29","13250.45","13582.98","13309.47","13372.12","13256.95","13153.29","12972.94","11932.28","12177.80","13684.24","12778.34","13231.29","-158.48","-115.64","-42.84","14.32","20.01","20.21","38.38","13.01","13.36","-83.71","13255.68","100.00","314.72","-86.40","0.11","3.33","1.11","-1670.55","NO PATTERN","2016-08-30"
"A2ZINFRA","38.05","388653.00","1357589.58","2.28","-2.44","-6.63","52.81","51.90","38.18","38.05","37.95","38.37","38.40","38.65","39.84","38.59","39.76","37.75","34.21","35.09","28.21","30.76","41.13","35.66","38.40","-0.41","-0.34","-0.07","15.99","22.29","23.36","47.04","19.58","27.48","-14.59","35.18","2.05","1.99","-44.03","0.44","52.59","17.53","-2.70","Doji","2016-08-30"
"AARTIDRUGS","489.90","8335.00","18711.12","0.79","-1.14","-7.44","5.79","-23.40","489.75","489.20","488.62","491.17","491.54","492.49","500.19","491.80","488.87","489.35","478.12","487.49","498.08","511.65","508.48","474.60","491.54","-1.71","-0.70","-1.00","17.38","20.88","18.76","48.40","28.85","29.08","11.02","468.46","11.95","16.59","-35.74","0.11","36.24","12.08","-39.40","NO PATTERN","2016-08-30"
"AARTIIND","627.75","78610.00","62515.62","1.85","8.04","13.11","20.87","48.39","609.15","611.97","598.39","598.12","585.92","588.86","568.91","574.27","552.77","562.35","536.09","543.79","511.68","516.15","627.92","543.92","585.92","17.56","15.59","1.97","41.59","28.70","7.13","70.54","89.02","78.94","120.83","582.14","18.75","18.47","-11.19","0.24","100.00","84.99","72.75","Spinning Tops","2016-08-30"
"AARVEEDEN","73.30","9743.00","54564.42","-0.41","0.34","4.27","26.16","8.35","73.70","73.59","73.83","73.47","72.78","73.30","72.64","72.82","74.26","71.81","68.20","68.95","61.70","64.45","78.33","67.22","72.78","0.36","0.35","0.00","25.53","23.99","11.90","50.57","33.15","31.99","-97.70","70.17","2.50","3.73","-71.37","0.21","0.00","46.18","3.00","NO PATTERN","2016-08-30"
"ABAN","217.75","632571.00","1199021.64","0.83","-1.16","-1.38","10.76","-22.62","217.88","217.59","216.78","217.57","215.89","217.61","219.43","217.31","218.39","216.00","213.49","212.43","202.39","215.51","224.16","207.62","215.89","-0.01","-0.16","0.15","10.34","23.56","21.62","50.26","25.35","22.66","-12.77","212.78","3.75","6.15","-54.00","0.10","37.16","13.87","-3.05","NO PATTERN","2016-08-30"
"ABB","1154.70","26237.00","54455.04","0.49","0.33","-8.70","-6.65","-9.55","1154.09","1154.03","1164.10","1167.38","1179.68","1180.49","1219.64","1198.13","1222.45","1208.35","1230.60","1213.41","1180.36","1198.96","1231.68","1127.69","1179.68","-24.00","-22.70","-1.30","37.74","9.86","21.71","34.77","20.73","26.71","0.69","1143.43","17.90","27.15","-83.09","-0.06","100.00","59.56","-110.00","NO PATTERN","2016-08-30"
"ABBOTINDIA","4680.00","1251.00","1976.10","-0.89","0.53","0.29","-0.53","-3.35","4701.15","4695.74","4684.50","4690.40","4688.25","4687.56","4688.54","4679.45","4666.71","4674.03","4639.90","4695.15","4892.00","4866.02","4749.94","4626.56","4688.25","6.56","6.26","0.29","11.96","19.75","12.85","49.48","48.33","55.60","0.64","4584.70","75.00","89.77","-61.15","0.02","6.52","54.76","13.45","NO PATTERN","2016-08-30"
"ABFRL","165.75","583918.00","857519.42","1.66","-2.13","14.47","25.81","-20.66","164.45","164.35","160.63","160.87","156.17","157.80","150.70","153.47","147.16","150.86","144.72","150.82","167.77","168.47","173.21","139.13","156.17","5.69","5.19","0.50","44.42","31.35","8.41","66.11","24.87","25.38","42.82","161.15","7.40","6.57","-37.88","0.17","40.47","15.29","20.95","Engulfing Line - Bullish","2016-08-30"
"ABGSHIP","27.65","169706.00","308921.96","0.36","-4.16","-9.93","12.63","-81.47","28.27","28.04","28.26","28.41","28.48","28.74","29.60","29.40","30.41","30.36","31.17","34.73","47.63","58.64","29.74","27.22","28.48","-0.65","-0.69","0.03","14.08","20.14","19.98","37.13","12.11","19.22","-91.50","30.73","0.75","1.32","-77.78","-0.34","10.15","3.38","-3.05","NO PATTERN","2016-08-30"
"ABIRLANUVO","1360.75","1970314.00","848479.56","4.73","6.37","-3.97","30.10","-38.68","1303.81","1315.16","1307.25","1327.28","1385.48","1337.49","1364.60","1323.97","1302.94","1289.37","1159.81","1236.26","1272.05","1421.42","1640.24","1130.72","1385.48","-10.99","1.30","-12.29","33.17","25.98","22.79","52.82","73.17","61.60","166.67","1470.08","90.15","64.02","-58.28","0.54","100.00","100.00","-56.25","NO PATTERN","2016-08-30"
"ABIRLANUVO-1M","1368.25","7024500.00","2542810.00","4.84","6.74","-3.76","29.80","-38.50","1308.66","1320.62","1310.23","1331.24","1388.88","1341.17","1367.99","1327.61","1306.71","1293.05","1163.62","1239.95","1275.73","1425.49","1644.43","1133.32","1388.88","-10.58","1.09","-11.67","33.25","25.54","23.21","53.19","81.70","68.11","166.67","1472.90","89.65","64.21","-56.61","0.54","100.00","100.00","-53.50","","2016-08-30"
"ABIRLANUVO-2M","1384.00","12000.00","399555.00","5.39","7.20","-2.81","38.28","-37.33","1319.14","1331.77","1319.63","1340.56","1397.15","1349.25","1374.29","1333.07","1309.02","1297.41","1153.05","1254.49","1370.80","1480.04","1651.82","1142.48","1397.15","-8.02","3.58","-11.60","23.32","30.36","29.65","54.14","87.86","70.95","166.67","1480.73","76.80","59.61","-55.71","0.56","100.00","100.00","-40.00","","2016-08-30"
"ABMINTLTD","105.45","25.00","","-5.00","2.88","0.00","0.00","0.00","104.62","104.87","","","","","","","","","","","","","","","","","","","","","","","","","14.42","96.23","5.55","","","","","","","Doji","2016-08-30"
"ACC","1688.60","293777.00","285680.60","3.28","2.05","-0.01","10.43","19.67","1650.99","1659.39","1658.78","1660.02","1665.55","1659.25","1660.77","1648.47","1639.44","1628.53","1570.09","1576.27","1427.90","1483.39","1720.56","1610.55","1665.55","4.01","7.62","-3.61","20.18","25.59","22.75","57.70","44.30","28.72","159.10","1600.36","60.05","37.12","-15.68","0.19","100.00","33.33","-0.10","NO PATTERN","2016-08-30"
"ACC-1M","1701.80","1032800.00","855430.50","3.41","2.66","0.70","10.64","20.66","1658.59","1668.52","1663.42","1666.20","1670.59","1664.71","1665.44","1653.51","1644.15","1633.39","1574.95","1580.76","1430.74","1486.74","1726.36","1614.81","1670.59","5.15","7.64","-2.49","19.27","29.50","18.94","59.35","49.83","32.74","166.67","1592.45","61.30","35.64","-5.77","0.19","100.00","46.47","11.80","","2016-08-30"
"ACC-2M","1712.20","3600.00","167792.00","3.83","2.59","0.75","11.16","20.70","1672.09","1680.60","1673.18","1677.19","1680.47","1674.31","1670.67","1661.13","1648.79","1639.80","1579.62","1585.94","1434.36","1491.25","1741.88","1619.06","1680.47","7.73","10.16","-2.43","18.89","33.30","24.47","57.44","57.59","40.92","128.95","1606.00","63.20","33.57","-3.59","0.20","100.00","66.67","12.70","","2016-08-30"
"ACCELYA","1237.30","2060.00","3989.08","2.12","-1.49","1.53","13.18","17.24","1226.83","1229.84","1239.78","1233.10","1232.67","1229.04","1222.03","1214.09","1194.64","1192.76","1139.02","1142.76","1010.30","1064.73","1274.85","1190.50","1232.67","9.94","15.19","-5.25","28.88","19.24","17.66","54.14","32.79","27.16","-12.91","1273.42","37.05","33.51","-52.21","0.26","52.77","24.67","18.70","Engulfing Line - Bullish","2016-08-30"
"ACE","43.40","85017.00","310876.28","0.93","0.12","-10.05","8.09","-2.58","42.95","43.09","42.97","43.58","44.38","44.03","45.27","44.32","44.92","44.13","43.03","43.30","41.60","42.56","48.55","40.22","44.38","-0.74","-0.59","-0.16","13.68","17.91","16.63","46.39","42.33","30.32","87.96","45.83","1.20","1.88","-72.92","0.15","100.00","65.70","-4.85","Engulfing Line - Bullish","2016-08-30"
"ACROPETAL","2.20","1721.00","11234.60","0.00","-2.22","-15.38","-12.00","-31.25","2.28","2.26","2.33","2.33","2.40","2.37","2.45","2.41","2.45","2.44","2.51","2.52","2.77","2.68","2.65","2.16","2.40","-0.07","-0.04","-0.02","21.75","12.04","24.20","37.09","33.33","54.44","-76.92","2.37","0.10","0.12","-87.50","-0.10","0.00","21.34","-0.40","NO PATTERN","2016-08-30"
"ADANIENT","73.35","2411488.00","4013546.66","0.82","-1.48","-9.05","0.69","-11.84","73.29","73.38","74.37","74.59","75.49","75.53","77.92","76.69","79.08","77.18","77.88","77.20","76.01","77.84","79.49","71.49","75.49","-1.71","-1.51","-0.20","16.43","13.33","23.77","40.96","38.06","23.84","-8.74","75.81","1.15","2.64","-74.19","-0.02","68.58","33.19","-7.30","NO PATTERN","2016-08-30"
"ADANIENT-1M","74.00","6304000.00","9681920.00","1.02","-0.94","-8.92","0.75","-11.11","73.70","73.85","74.69","74.96","75.84","75.88","78.22","77.03","79.40","77.50","78.20","77.50","76.26","78.11","79.84","71.84","75.84","-1.67","-1.50","-0.17","15.27","13.48","23.06","41.76","43.41","27.16","12.36","77.28","1.40","2.67","-72.15","-0.01","85.85","38.54","-7.25","","2016-08-30"
"ADANIPORTS","262.95","2076344.00","5275647.34","0.13","-3.50","13.15","36.85","-28.65","263.02","263.40","266.12","261.10","255.39","255.83","242.25","246.18","231.28","238.61","218.15","231.19","228.13","245.35","289.42","221.37","255.39","10.39","11.91","-1.52","44.85","22.76","17.81","60.32","40.62","25.64","-1.77","276.49","5.30","8.90","-47.12","0.39","27.74","16.33","30.55","NO PATTERN","2016-08-30"
"ADANIPORTS-1M","264.90","7377500.00","11640772.00","0.44","-3.00","13.50","36.76","-28.12","264.07","264.66","266.71","261.95","256.16","256.57","242.80","246.85","231.90","239.26","218.81","231.81","228.73","246.02","289.51","222.81","256.16","10.56","11.94","-1.38","44.96","23.06","18.07","61.95","43.20","28.46","11.68","276.34","5.20","8.69","-40.88","0.39","30.82","16.60","31.50","","2016-08-30"
"ADANIPORTS-2M","266.20","62500.00","2476000.00","0.24","-3.16","13.40","36.69","-28.02","265.85","266.32","268.42","263.58","257.67","258.13","244.15","248.29","233.21","240.61","219.95","233.07","229.89","247.31","291.60","223.73","257.67","10.71","12.10","-1.38","46.21","24.75","19.18","61.82","41.82","26.03","5.18","277.98","4.75","8.16","-41.03","0.39","28.16","15.78","31.45","","2016-08-30"
"ADANIPOWER","27.55","2361839.00","5990277.18","1.47","-1.25","-1.43","-7.55","6.17","27.44","27.44","27.52","27.52","27.35","27.62","27.82","27.93","28.46","28.28","29.18","28.80","29.48","28.59","28.40","26.29","27.35","-0.23","-0.30","0.06","12.44","17.57","19.18","47.62","32.29","31.94","8.33","26.73","0.55","0.80","-41.03","-0.17","58.82","21.82","-0.40","NO PATTERN","2016-08-30"
"ADANIPOWER-1M","27.80","10700000.00","23047600.00","1.46","-0.71","-1.07","-7.49","7.13","27.62","27.64","27.63","27.67","27.48","27.76","27.94","28.06","28.58","28.40","29.31","28.92","29.61","28.71","28.48","26.47","27.48","-0.21","-0.29","0.08","14.15","16.56","19.19","48.84","42.54","37.72","28.85","28.30","0.50","0.79","-31.58","-0.17","74.13","27.53","-0.30","","2016-08-30"
"ADANIPOWER-2M","28.00","160000.00","10385200.00","2.19","-0.88","-1.06","-7.13","2.94","27.78","27.80","27.83","27.84","27.65","27.93","28.12","28.23","28.76","28.58","29.49","29.10","29.78","28.88","28.66","26.63","27.65","-0.22","-0.29","0.07","13.62","21.33","22.18","49.14","34.03","32.41","26.56","28.54","0.60","0.67","-33.33","-0.17","80.35","26.78","-0.30","","2016-08-30"
"ADANITRANS","40.15","1285169.00","1490682.50","0.25","4.56","2.42","25.86","5.52","39.77","39.70","38.84","39.19","38.86","38.93","38.52","38.36","38.02","37.66","35.11","36.35","34.62","34.99","40.80","36.92","38.86","0.52","0.44","0.08","24.55","26.04","14.38","59.10","61.56","63.50","104.89","37.15","1.15","1.50","-42.86","0.28","90.66","78.27","0.95","NO PATTERN","2016-08-30"
"ADFFOODS","130.50","423661.00","285319.72","1.05","9.76","9.21","52.99","73.08","123.40","125.13","121.38","121.09","118.82","118.07","110.67","112.57","103.99","107.77","96.53","100.58","89.97","92.90","128.51","109.14","118.82","5.95","5.87","0.08","51.62","37.78","6.51","77.39","48.85","36.84","106.03","117.55","6.80","5.58","-28.90","0.59","100.00","67.29","11.00","NO PATTERN","2016-08-30"
"ADHUNIK","7.90","64396.00","109866.86","1.28","0.64","-11.73","3.95","-54.86","7.92","7.90","7.97","8.00","8.08","8.06","8.28","8.15","8.19","8.25","8.29","8.77","10.97","11.00","8.51","7.66","8.08","-0.12","-0.09","-0.03","11.77","15.45","12.13","44.98","23.74","21.97","23.26","8.38","0.40","0.46","-78.26","-0.11","38.97","28.73","-1.05","NO PATTERN","2016-08-30"
"ADHUNIKIND","124.95","17722.00","","-5.73","-8.02","34.28","0.00","0.00","135.87","133.70","141.63","136.80","139.70","133.70","120.69","120.35","","","","","","","181.80","97.61","139.70","7.41","11.01","-3.61","30.72","31.07","24.73","47.55","16.23","25.93","-134.68","171.26","9.55","12.23","-97.32","","0.00","5.83","31.90","NO PATTERN","2016-08-30"
"ADI","386.80","23282.00","18486.34","-1.18","-0.50","-0.28","37.58","75.98","387.21","386.98","381.82","383.45","379.44","380.18","375.65","372.18","366.62","361.88","331.24","338.79","280.97","292.30","397.46","361.43","379.44","6.91","7.12","-0.21","15.04","19.52","16.65","55.77","43.01","46.28","71.18","341.27","23.00","17.65","-34.14","0.42","42.48","46.04","-1.10","Doji","2016-08-30"
"ADLABS","78.80","220383.00","392592.74","-0.19","-4.77","-9.43","-5.29","-45.93","79.45","79.60","82.05","81.66","83.43","82.62","84.83","83.29","83.19","83.54","82.95","85.11","94.40","96.53","89.43","77.44","83.44","-1.57","-0.77","-0.80","13.96","20.41","25.35","37.94","24.25","16.17","-23.00","76.85","3.75","3.25","-86.87","0.04","43.40","26.66","-8.20","Doji","2016-08-30"
"ADORWELD","287.45","4695.00","6292.64","0.93","4.45","1.45","-0.67","9.07","283.86","283.58","278.71","279.63","274.12","278.75","278.36","279.25","281.55","280.30","285.31","281.60","285.36","280.86","289.47","258.77","274.12","1.11","-0.93","2.05","21.09","22.45","16.46","59.38","63.60","63.65","102.72","265.35","5.10","9.61","-14.87","-0.08","100.00","83.99","4.10","NO PATTERN","2016-08-30"
"ADSL","31.20","137309.00","198180.72","0.65","-0.79","-8.37","2.63","-1.89","31.38","31.25","30.82","31.36","31.36","31.65","32.68","32.28","33.02","32.99","34.98","34.55","40.17","36.38","33.53","29.19","31.36","-0.60","-0.73","0.14","14.07","17.60","15.33","43.78","22.29","32.98","-58.56","29.64","0.75","1.59","-42.55","-0.25","36.33","12.11","-2.85","NO PATTERN","2016-08-30"
"ADVANIHOTR","53.95","2604.00","7046.70","-0.55","-2.62","-10.46","7.90","2.37","54.32","54.29","54.33","54.57","54.76","54.77","55.13","54.92","55.44","54.75","53.89","53.84","51.16","52.10","56.72","52.81","54.76","-0.34","-0.28","-0.06","24.10","22.72","15.04","44.93","35.80","36.28","-89.23","60.26","0.90","2.38","-70.11","0.07","0.00","0.00","-6.30","NO PATTERN","2016-08-30"
"ADVENZYMES","1399.90","524607.00","","7.89","5.83","0.00","0.00","0.00","1348.69","1356.72","1365.01","1362.47","1384.21","1375.67","","","","","","","","","1474.40","1294.03","1384.21","","","","","26.02","18.93","65.54","51.76","42.60","126.64","1462.38","131.50","72.72","-45.33","","99.97","49.02","","NO PATTERN","2016-08-30"
"AEGISCHEM","130.85","2742286.00","754661.04","1.99","15.34","4.64","14.18","57.27","124.46","125.41","119.60","122.04","120.86","121.57","121.34","121.37","122.61","120.76","119.71","117.87","108.37","108.84","130.26","111.46","120.86","0.71","-0.64","1.36","20.40","29.57","14.47","64.76","82.13","76.68","110.66","113.57","9.00","5.43","-15.49","0.06","100.00","100.00","5.80","NO PATTERN","2016-08-30"
"AFL","71.75","42147.00","27890.60","4.59","5.36","31.89","42.64","-7.06","69.95","69.13","63.75","65.06","60.38","62.78","58.35","60.38","57.69","59.13","57.99","58.50","61.70","63.17","74.47","46.30","60.38","3.97","2.66","1.31","38.47","36.52","7.33","70.66","49.79","55.69","85.87","65.91","7.00","4.28","-21.25","0.11","34.59","13.63","17.35","Engulfing Line - Bullish","2016-08-30"
"AGARIND","166.95","922.00","21247.46","-2.82","-0.45","23.12","47.74","42.09","169.64","166.38","152.20","156.48","146.46","150.97","141.37","144.46","135.79","140.54","131.29","137.36","145.57","135.89","176.67","116.25","146.46","9.82","6.82","3.00","28.64","31.48","9.43","69.43","61.65","76.16","-116.43","148.86","7.30","8.05","-23.48","0.23","0.00","29.25","31.35","NO PATTERN","2016-08-30"
"AGCNET","80.90","21398.00","19103.02","6.66","9.03","31.54","32.95","-28.57","76.45","77.42","78.29","75.52","73.07","73.63","68.61","70.83","66.48","69.11","65.62","68.49","73.22","76.52","89.30","56.84","73.07","3.53","3.54","-0.01","27.84","26.84","10.98","67.00","69.23","50.94","166.67","73.21","7.25","4.87","-28.23","0.23","100.00","92.04","19.40","NO PATTERN","2016-08-30"
"AGRITECH","30.30","4029.00","4312.60","-4.87","-22.41","27.31","225.81","0.00","33.60","33.41","37.95","34.87","35.29","33.34","28.46","29.35","22.11","25.73","16.64","17.21","","","45.81","24.77","35.29","3.37","5.14","-1.76","64.00","48.82","41.80","47.46","0.00","0.00","-106.80","43.21","1.55","1.67","-100.00","3.50","0.00","0.00","6.50","Doji","2016-08-30"
"AGRODUTCH","2.50","23100.00","14395.94","6.38","0.00","2.04","4.17","-31.51","2.38","2.42","2.54","2.48","2.55","2.50","2.53","2.52","2.53","2.54","2.54","2.61","2.94","2.89","2.92","2.17","2.55","-0.04","-0.01","-0.03","21.86","14.13","18.88","49.34","41.67","16.67","130.95","2.90","0.20","0.21","-69.23","-0.03","100.00","33.33","0.05","NO PATTERN","2016-08-30"
"AHLEAST","193.75","1137.00","2353.94","1.97","1.95","-5.40","8.15","16.12","190.78","192.13","195.35","194.60","196.84","195.87","200.96","195.39","196.04","192.29","180.59","183.51","161.74","170.36","206.73","186.96","196.84","-1.75","-0.51","-1.24","16.42","34.73","12.77","47.53","21.14","20.13","164.40","185.10","37.20","11.68","-77.88","0.31","100.00","33.33","-11.05","NO PATTERN","2016-08-30"
"AHLUCONT","307.85","8905.00","40106.60","-0.13","0.69","5.79","12.77","16.41","310.45","308.38","301.37","303.13","297.13","299.62","292.97","294.82","288.47","291.12","283.42","284.90","271.90","272.73","315.49","278.77","297.13","6.44","5.14","1.30","22.45","21.86","10.34","63.87","51.44","66.16","-48.65","295.89","6.50","8.57","-34.34","0.13","0.00","33.33","16.85","NO PATTERN","2016-08-30"
"AHLWEST","167.50","860.00","1984.32","0.30","-1.47","5.08","25.42","43.41","169.71","169.09","172.29","170.20","171.46","169.14","166.51","165.56","161.73","161.11","147.96","152.15","133.37","138.18","178.87","164.05","171.46","2.54","3.95","-1.42","22.28","17.38","13.62","50.04","34.13","42.16","-61.18","181.85","3.80","10.13","-69.74","0.42","6.45","2.15","8.10","NO PATTERN","2016-08-30"
"AIAENG","1284.95","55931.00","41198.36","2.69","6.61","24.87","36.52","30.47","1220.08","1238.32","1222.99","1204.62","1163.79","1176.22","1105.77","1134.03","1074.78","1101.56","1034.00","1051.41","943.01","990.26","1343.29","984.29","1163.79","53.02","49.84","3.19","38.45","35.10","11.92","70.21","64.72","37.56","138.41","1307.88","43.60","48.31","-16.25","0.31","100.00","66.67","255.95","Shooting Star - Bearish","2016-08-30"
"AICHAMP","25.90","101.00","152.04","-1.89","1.97","-16.18","-30.00","0.00","25.99","25.90","25.00","25.71","25.62","25.91","26.86","26.31","26.34","26.23","28.14","25.91","","","29.57","21.66","25.62","-0.42","-0.64","0.22","21.91","32.58","52.05","48.72","62.82","72.87","-40.61","22.51","1.20","1.04","-12.50","-0.11","47.46","58.13","-5.00","NO PATTERN","2016-08-30"
"AIFL","356.05","42153.00","94040.56","-0.29","7.37","21.17","36.23","0.00","351.51","349.21","324.87","332.07","315.71","323.00","308.94","311.03","295.62","301.78","278.96","289.10","","","362.78","268.64","315.71","16.50","11.63","4.87","37.71","34.85","7.00","76.90","81.73","86.68","83.75","315.62","11.85","13.63","-12.05","0.33","72.36","90.79","62.20","NO PATTERN","2016-08-30"
"AIL","607.20","18600.00","16630.88","-0.40","0.96","-1.93","-0.99","-17.82","602.84","605.36","607.16","607.45","609.39","610.12","618.99","613.74","619.37","615.60","618.37","617.48","615.23","627.77","622.52","596.27","609.39","-4.91","-4.89","-0.02","41.62","12.88","20.31","45.99","50.80","39.33","108.76","586.09","19.05","15.64","-60.29","-0.02","83.05","69.96","-11.95","NO PATTERN","2016-08-30"
"AJANTPHARM","1932.20","228349.00","155678.90","-0.17","-2.35","8.45","27.22","18.03","1962.43","1951.27","1954.24","1934.66","1913.76","1900.08","1809.06","1832.77","1720.24","1772.86","1639.46","1676.70","1468.79","1560.75","2036.41","1791.11","1913.76","69.24","79.64","-10.40","53.56","25.36","13.17","62.92","20.09","36.17","-87.19","2005.37","59.50","44.99","-40.38","0.43","0.00","0.00","150.55","NO PATTERN","2016-08-30"
"AJANTPHARM-1M","1946.70","422800.00","382616.00","-0.30","-1.85","9.31","27.14","18.76","1970.94","1962.01","1956.65","1940.64","1916.73","1904.73","1811.70","1836.73","1724.04","1776.74","1643.93","1680.48","1471.88","1564.39","2040.13","1793.33","1916.73","71.35","79.83","-8.48","47.21","29.05","14.02","65.01","29.23","42.15","-85.68","2008.31","55.95","41.78","-34.40","0.43","0.00","4.56","165.80","","2016-08-30"
"AJANTPHARM-2M","1969.10","800.00","59272.00","0.50","-1.09","21.03","24.08","24.60","1984.79","1974.55","1950.20","1934.48","1884.30","1886.85","1769.92","1809.59","1692.14","1747.68","1622.17","1654.19","1473.49","1547.70","2095.57","1673.02","1884.30","90.86","92.76","-1.90","35.58","32.04","18.42","70.47","48.05","64.73","-54.83","1949.65","10.60","40.64","-24.49","0.40","7.47","2.49","342.20","","2016-08-30"
"AJMERA","142.00","26128.00","64130.68","1.21","-0.80","-6.52","-11.47","12.30","140.95","141.44","141.79","142.67","143.06","144.08","147.94","146.59","149.99","148.45","155.94","149.55","149.18","143.90","149.00","137.12","143.06","-2.77","-2.95","0.19","12.27","19.70","18.23","42.87","20.41","13.03","14.04","150.30","2.70","4.83","-69.77","-0.14","100.00","42.38","-9.90","NO PATTERN","2016-08-30"
"AKSHOPTFBR","14.30","535711.00","980497.26","-1.38","-5.30","-8.33","0.70","-29.38","14.64","14.59","14.86","14.86","14.98","15.05","15.53","15.29","15.86","15.37","15.36","15.35","15.36","15.79","15.56","14.41","14.98","-0.34","-0.31","-0.03","20.82","11.60","24.27","30.80","7.97","11.72","-119.42","15.45","0.40","0.48","-96.15","0.00","0.00","0.00","-1.30","Engulfing Line - Bearish","2016-08-30"
"AKZOINDIA","1698.90","23495.00","11548.56","4.13","4.48","1.26","10.61","23.46","1647.64","1655.19","1629.95","1636.62","1626.88","1627.01","1608.87","1608.58","1591.14","1585.90","1521.19","1535.09","1408.54","1456.38","1668.76","1584.99","1626.88","18.91","15.83","3.08","26.62","29.95","9.95","66.34","49.33","38.73","166.67","1622.06","89.00","42.82","-16.35","0.19","100.00","64.53","21.15","Engulfing Line - Bullish","2016-08-30"
"ALANKIT","142.10","159342.00","264677.82","-1.29","1.57","8.85","21.19","232.01","143.83","141.96","135.87","137.83","132.44","135.93","133.36","133.88","134.15","131.58","125.62","124.40","98.33","100.48","147.73","117.14","132.44","3.28","1.65","1.63","23.11","22.41","14.98","59.51","37.82","48.44","-48.39","132.93","6.35","9.00","-44.13","0.18","2.17","10.26","11.55","NO PATTERN","2016-08-30"
"ALBERTDAVD","305.80","5102.00","2434.16","-1.18","0.28","-2.92","0.00","0.00","302.33","303.72","302.51","304.66","309.33","306.60","311.82","308.90","311.83","311.28","","","","","336.91","281.76","309.33","-3.40","-3.25","-0.15","18.19","24.98","18.99","48.37","52.17","48.48","102.33","277.60","14.40","12.93","-52.53","","75.07","68.88","-9.20","NO PATTERN","2016-08-30"
"ALBK","84.00","8059345.00","5484778.62","6.67","4.41","8.67","58.04","-4.92","80.36","80.63","78.08","79.04","77.70","78.20","77.56","76.27","75.22","73.82","65.77","69.40","62.14","68.64","82.85","72.56","77.70","1.75","1.50","0.25","16.65","31.18","17.75","65.41","46.45","42.50","112.12","74.25","5.85","3.17","-4.56","0.52","100.00","37.95","6.70","NO PATTERN","2016-08-30"
"ALBK-1M","84.70","36950000.00","18505920.00","6.81","4.83","9.01","58.02","-4.19","80.79","81.14","78.41","79.44","78.06","78.55","77.87","76.55","75.31","74.04","65.86","69.56","62.26","68.78","83.34","72.78","78.06","1.83","1.55","0.28","14.61","30.99","17.61","66.51","50.21","45.39","125.37","74.31","5.90","3.23","-3.65","0.53","100.00","38.07","7.00","","2016-08-30"
"ALBK-2M","85.00","340000.00","2785200.00","6.65","4.87","8.42","59.03","-9.96","81.14","81.47","78.73","79.75","78.36","78.82","78.04","76.75","75.33","74.18","65.86","69.65","62.37","68.94","83.69","73.03","78.36","1.91","1.64","0.26","14.89","37.00","20.09","66.44","46.87","42.36","123.07","75.82","5.80","2.88","-3.73","0.54","100.00","39.59","6.60","","2016-08-30"
"ALCHEM","23.85","6963.00","20871.00","1.49","2.36","-4.79","12.77","1.71","23.83","23.76","23.58","23.81","23.78","23.95","24.58","24.10","24.60","24.06","23.81","23.85","23.81","23.71","24.89","22.68","23.78","-0.26","-0.30","0.04","15.62","19.28","15.22","48.46","42.50","45.49","-47.41","22.93","0.70","1.32","-63.10","0.08","88.45","72.46","-1.20","NO PATTERN","2016-08-30"
"ALEMBICLTD","38.25","238093.00","200282.70","2.00","3.10","0.13","8.05","-12.57","37.97","37.90","37.59","37.81","37.87","37.83","37.94","37.81","37.84","37.73","37.27","37.72","38.95","39.18","39.43","36.30","37.87","-0.02","-0.05","0.03","16.09","20.71","19.91","53.04","35.88","43.51","-32.24","36.23","1.90","1.33","-42.31","0.05","71.92","52.51","0.05","Engulfing Line - Bullish","2016-08-30"
"ALICON","303.15","1758.00","2876.28","3.52","-2.18","2.69","-11.36","-20.69","300.72","299.82","297.54","299.40","299.74","299.56","299.10","301.17","301.75","303.34","316.79","306.78","311.44","317.19","317.36","282.11","299.74","-0.69","-1.33","0.65","12.74","14.34","16.98","51.89","27.00","37.63","-7.53","310.09","12.15","13.16","-23.70","-0.12","64.70","21.57","7.95","Harami Cross - Bearish","2016-08-30"
